parca_no,tahmin_tarihi,tahmin_ayi,tahmin,birim_maliyet,tedarik_suresi,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_Q,mevcut_r,mevcut_SS,baslangic_stok
Part-1025,2025-01-01,1,57.17,394.04,20,100,7.0599,1344.87,61,147,80,146
Part-1025,2025-02-01,2,123.93,394.04,20,100,7.0599,1344.87,61,147,80,146
Part-1025,2025-03-01,3,60.26,394.04,20,100,7.0599,1344.87,61,147,80,146
Part-1026,2025-01-01,1,28.48,183.48,14,50,3.7155,415.89,32,79,53,44
Part-1026,2025-02-01,2,88.71,183.48,14,50,3.7155,415.89,32,79,53,44
Part-1026,2025-03-01,3,40.38,183.48,14,50,3.7155,415.89,32,79,53,44
Part-1027,2025-01-01,1,0.79,5844.53,7,75,85.2327,20751.66,6,34,38,17
Part-1027,2025-02-01,2,1.42,5844.53,7,75,85.2327,20751.66,6,34,38,17
Part-1027,2025-03-01,3,1.42,5844.53,7,75,85.2327,20751.66,6,34,38,17
Part-1028,2025-01-01,1,51.27,2605.72,20,100,45.1658,6228.21,11,50,37,27
Part-1028,2025-02-01,2,0.92,2605.72,20,100,45.1658,6228.21,11,50,37,27
Part-1028,2025-03-01,3,0.93,2605.72,20,100,45.1658,6228.21,11,50,37,27
Part-1029,2025-01-01,1,1.49,5376.6,14,150,107.084,12355.64,6,28,19,16
Part-1029,2025-02-01,2,18.62,5376.6,14,150,107.084,12355.64,6,28,19,16
Part-1029,2025-03-01,3,7.39,5376.6,14,150,107.084,12355.64,6,28,19,16
Part-103,2025-01-01,1,4.62,32.72,14,75,0.7035,126.84,563,3795,3131,1837
Part-103,2025-02-01,2,47.89,32.72,14,75,0.7035,126.84,563,3795,3131,1837
Part-103,2025-03-01,3,1.99,32.72,14,75,0.7035,126.84,563,3795,3131,1837
Part-1030,2025-01-01,1,62.79,164.73,20,200,3.2809,482.67,70,147,151,29
Part-1030,2025-02-01,2,1.05,164.73,20,200,3.2809,482.67,70,147,151,29
Part-1030,2025-03-01,3,0.97,164.73,20,200,3.2809,482.67,70,147,151,29
Part-1031,2025-01-01,1,1.85,391.1,20,100,7.7568,1808.15,65,784,498,505
Part-1031,2025-02-01,2,2.48,391.1,20,100,7.7568,1808.15,65,784,498,505
Part-1031,2025-03-01,3,3.59,391.1,20,100,7.7568,1808.15,65,784,498,505
Part-1032,2025-01-01,1,0.86,5710.11,7,500,124.6707,24927.85,14,91,68,22
Part-1032,2025-02-01,2,0.89,5710.11,7,500,124.6707,24927.85,14,91,68,22
Part-1032,2025-03-01,3,6.89,5710.11,7,500,124.6707,24927.85,14,91,68,22
Part-1033,2025-01-01,1,0.65,23.35,14,200,0.323,113.89,109,51,52,22
Part-1033,2025-02-01,2,0.96,23.35,14,200,0.323,113.89,109,51,52,22
Part-1033,2025-03-01,3,0.56,23.35,14,200,0.323,113.89,109,51,52,22
Part-1034,2025-01-01,1,212.22,5166.07,20,200,69.3114,17464.34,21,249,110,215
Part-1034,2025-02-01,2,5.4,5166.07,20,200,69.3114,17464.34,21,249,110,215
Part-1034,2025-03-01,3,47.37,5166.07,20,200,69.3114,17464.34,21,249,110,215
Part-1035,2025-01-01,1,0.51,318.55,20,100,4.5659,935.68,21,101,88,23
Part-1035,2025-02-01,2,202.79,318.55,20,100,4.5659,935.68,21,101,88,23
Part-1035,2025-03-01,3,1.32,318.55,20,100,4.5659,935.68,21,101,88,23
Part-1036,2025-01-01,1,50.57,7456.01,20,100,167.1389,36629.29,6,56,35,26
Part-1036,2025-02-01,2,19.79,7456.01,20,100,167.1389,36629.29,6,56,35,26
Part-1036,2025-03-01,3,2.95,7456.01,20,100,167.1389,36629.29,6,56,35,26
Part-1037,2025-01-01,1,25.38,7067.57,20,150,94.2343,22229.66,16,182,107,141
Part-1037,2025-02-01,2,53.14,7067.57,20,150,94.2343,22229.66,16,182,107,141
Part-1037,2025-03-01,3,97.63,7067.57,20,150,94.2343,22229.66,16,182,107,141
Part-1038,2025-01-01,1,104.35,439.33,14,100,6.7364,890.66,44,131,118,67
Part-1038,2025-02-01,2,1.85,439.33,14,100,6.7364,890.66,44,131,118,67
Part-1038,2025-03-01,3,2.04,439.33,14,100,6.7364,890.66,44,131,118,67
Part-1039,2025-01-01,1,94.37,7918.55,20,100,124.0573,35319.31,9,171,122,146
Part-1039,2025-02-01,2,5.89,7918.55,20,100,124.0573,35319.31,9,171,122,146
Part-1039,2025-03-01,3,105.68,7918.55,20,100,124.0573,35319.31,9,171,122,146
Part-104,2025-01-01,1,3280.46,6992.67,20,300,114.2136,21643.45,99,2965,1873,2459
Part-104,2025-02-01,2,1914.23,6992.67,20,300,114.2136,21643.45,99,2965,1873,2459
Part-104,2025-03-01,3,1566.22,6992.67,20,300,114.2136,21643.45,99,2965,1873,2459
Part-1040,2025-01-01,1,1.26,197.24,20,500,4.0599,494.61,59,65,62,32
Part-1040,2025-02-01,2,0.65,197.24,20,500,4.0599,494.61,59,65,62,32
Part-1040,2025-03-01,3,80.91,197.24,20,500,4.0599,494.61,59,65,62,32
Part-1041,2025-01-01,1,150.42,392.13,20,200,6.8623,1628.81,26,61,59,14
Part-1041,2025-02-01,2,1.59,392.13,20,200,6.8623,1628.81,26,61,59,14
Part-1041,2025-03-01,3,2.09,392.13,20,200,6.8623,1628.81,26,61,59,14
Part-1042,2025-01-01,1,424.96,7459.41,20,75,111.8912,15257.22,17,490,317,220
Part-1042,2025-02-01,2,6.62,7459.41,20,75,111.8912,15257.22,17,490,317,220
Part-1042,2025-03-01,3,2.67,7459.41,20,75,111.8912,15257.22,17,490,317,220
Part-1043,2025-01-01,1,32.13,3965.92,20,300,71.7171,9252.37,12,85,51,42
Part-1043,2025-02-01,2,0.69,3965.92,20,300,71.7171,9252.37,12,85,51,42
Part-1043,2025-03-01,3,60.78,3965.92,20,300,71.7171,9252.37,12,85,51,42
Part-1044,2025-01-01,1,60.75,4032.56,20,150,85.0198,13915.12,22,225,89,215
Part-1044,2025-02-01,2,78.3,4032.56,20,150,85.0198,13915.12,22,225,89,215
Part-1044,2025-03-01,3,84.67,4032.56,20,150,85.0198,13915.12,22,225,89,215
Part-1045,2025-01-01,1,342.72,94.48,20,50,2.1101,208.21,85,258,136,154
Part-1045,2025-02-01,2,97.76,94.48,20,50,2.1101,208.21,85,258,136,154
Part-1045,2025-03-01,3,4.77,94.48,20,50,2.1101,208.21,85,258,136,154
Part-1046,2025-01-01,1,71.44,426.19,20,100,6.0022,1988.56,30,55,43,33
Part-1046,2025-02-01,2,1.08,426.19,20,100,6.0022,1988.56,30,55,43,33
Part-1046,2025-03-01,3,50.6,426.19,20,100,6.0022,1988.56,30,55,43,33
Part-1047,2025-01-01,1,78.12,1683.99,7,50,36.0655,7156.3,7,34,30,26
Part-1047,2025-02-01,2,1.87,1683.99,7,50,36.0655,7156.3,7,34,30,26
Part-1047,2025-03-01,3,1.65,1683.99,7,50,36.0655,7156.3,7,34,30,26
Part-1048,2025-01-01,1,8.31,114.92,20,50,1.4461,342.99,29,93,80,41
Part-1048,2025-02-01,2,2.3,114.92,20,50,1.4461,342.99,29,93,80,41
Part-1048,2025-03-01,3,1.36,114.92,20,50,1.4461,342.99,29,93,80,41
Part-1049,2025-01-01,1,27.13,2888.69,20,75,62.3476,10955.53,10,49,26,34
Part-1049,2025-02-01,2,53.63,2888.69,20,75,62.3476,10955.53,10,49,26,34
Part-1049,2025-03-01,3,41.76,2888.69,20,75,62.3476,10955.53,10,49,26,34
Part-105,2025-01-01,1,2555.37,5165.0,20,100,104.1608,16231.8,130,7035,2405,8485
Part-105,2025-02-01,2,7476.57,5165.0,20,100,104.1608,16231.8,130,7035,2405,8485
Part-105,2025-03-01,3,3486.95,5165.0,20,100,104.1608,16231.8,130,7035,2405,8485
Part-1050,2025-01-01,1,1.1,257.11,20,100,5.335,1066.13,24,83,56,41
Part-1050,2025-02-01,2,54.66,257.11,20,100,5.335,1066.13,24,83,56,41
Part-1050,2025-03-01,3,4.29,257.11,20,100,5.335,1066.13,24,83,56,41
Part-1051,2025-01-01,1,0.63,4324.79,20,100,79.2878,18450.41,6,74,61,14
Part-1051,2025-02-01,2,0.64,4324.79,20,100,79.2878,18450.41,6,74,61,14
Part-1051,2025-03-01,3,1.24,4324.79,20,100,79.2878,18450.41,6,74,61,14
Part-1052,2025-01-01,1,0.96,5519.13,20,75,78.6476,17589.62,5,47,38,15
Part-1052,2025-02-01,2,0.86,5519.13,20,75,78.6476,17589.62,5,47,38,15
Part-1052,2025-03-01,3,0.87,5519.13,20,75,78.6476,17589.62,5,47,38,15
Part-1053,2025-01-01,1,6.32,6023.95,7,100,133.0289,28290.88,9,37,27,51
Part-1053,2025-02-01,2,28.54,6023.95,7,100,133.0289,28290.88,9,37,27,51
Part-1053,2025-03-01,3,57.34,6023.95,7,100,133.0289,28290.88,9,37,27,51
Part-1054,2025-01-01,1,0.86,6781.38,14,100,90.9835,32722.56,7,57,40,28
Part-1054,2025-02-01,2,18.9,6781.38,14,100,90.9835,32722.56,7,57,40,28
Part-1054,2025-03-01,3,20.99,6781.38,14,100,90.9835,32722.56,7,57,40,28
Part-1055,2025-01-01,1,0.94,293.49,20,100,6.9459,759.3,26,104,77,15
Part-1055,2025-02-01,2,0.56,293.49,20,100,6.9459,759.3,26,104,77,15
Part-1055,2025-03-01,3,0.57,293.49,20,100,6.9459,759.3,26,104,77,15
Part-1056,2025-01-01,1,1.08,412.66,20,75,9.1473,1953.42,24,125,97,60
Part-1056,2025-02-01,2,1.71,412.66,20,75,9.1473,1953.42,24,125,97,60
Part-1056,2025-03-01,3,1.25,412.66,20,75,9.1473,1953.42,24,125,97,60
Part-1057,2025-01-01,1,32.95,79.34,7,150,1.7256,328.31,118,78,45,63
Part-1057,2025-02-01,2,1.5,79.34,7,150,1.7256,328.31,118,78,45,63
Part-1057,2025-03-01,3,84.6,79.34,7,150,1.7256,328.31,118,78,45,63
Part-1058,2025-01-01,1,129.96,306.54,20,50,6.7183,1429.83,14,101,70,15
Part-1058,2025-02-01,2,1.6,306.54,20,50,6.7183,1429.83,14,101,70,15
Part-1058,2025-03-01,3,2.12,306.54,20,50,6.7183,1429.83,14,101,70,15
Part-1059,2025-01-01,1,135.54,8.25,14,100,0.11,27.01,755,664,498,439
Part-1059,2025-02-01,2,358.18,8.25,14,100,0.11,27.01,755,664,498,439
Part-1059,2025-03-01,3,620.85,8.25,14,100,0.11,27.01,755,664,498,439
Part-106,2025-01-01,1,55.01,5115.38,20,200,120.2114,23177.0,75,13019,9213,3168
Part-106,2025-02-01,2,7.91,5115.38,20,200,120.2114,23177.0,75,13019,9213,3168
Part-106,2025-03-01,3,16035.71,5115.38,20,200,120.2114,23177.0,75,13019,9213,3168
Part-1060,2025-01-01,1,44.84,3542.61,20,300,87.9748,14112.32,30,383,294,167
Part-1060,2025-02-01,2,4.03,3542.61,20,300,87.9748,14112.32,30,383,294,167
Part-1060,2025-03-01,3,1.15,3542.61,20,300,87.9748,14112.32,30,383,294,167
Part-1061,2025-01-01,1,49.04,121.19,20,100,2.8177,327.96,76,133,78,68
Part-1061,2025-02-01,2,154.08,121.19,20,100,2.8177,327.96,76,133,78,68
Part-1061,2025-03-01,3,8.58,121.19,20,100,2.8177,327.96,76,133,78,68
Part-1062,2025-01-01,1,24.36,2722.02,20,100,51.2647,11577.58,12,72,39,27
Part-1062,2025-02-01,2,21.17,2722.02,20,100,51.2647,11577.58,12,72,39,27
Part-1062,2025-03-01,3,0.78,2722.02,20,100,51.2647,11577.58,12,72,39,27
Part-1063,2025-01-01,1,0.8,1454.57,20,50,31.2733,5447.66,7,37,21,11
Part-1063,2025-02-01,2,0.8,1454.57,20,50,31.2733,5447.66,7,37,21,11
Part-1063,2025-03-01,3,31.34,1454.57,20,50,31.2733,5447.66,7,37,21,11
Part-1064,2025-01-01,1,139.4,29.81,20,150,0.6484,102.63,69,58,58,14
Part-1064,2025-02-01,2,1.69,29.81,20,150,0.6484,102.63,69,58,58,14
Part-1064,2025-03-01,3,2.08,29.81,20,150,0.6484,102.63,69,58,58,14
Part-1065,2025-01-01,1,0.6,95.7,20,300,2.1852,390.27,75,131,114,41
Part-1065,2025-02-01,2,0.93,95.7,20,300,2.1852,390.27,75,131,114,41
Part-1065,2025-03-01,3,0.57,95.7,20,300,2.1852,390.27,75,131,114,41
Part-1066,2025-01-01,1,1.03,137.53,20,100,2.1546,502.95,50,113,89,38
Part-1066,2025-02-01,2,0.56,137.53,20,100,2.1546,502.95,50,113,89,38
Part-1066,2025-03-01,3,0.69,137.53,20,100,2.1546,502.95,50,113,89,38
Part-1067,2025-01-01,1,17.93,443.93,20,100,7.6208,1907.15,20,46,25,27
Part-1067,2025-02-01,2,20.94,443.93,20,100,7.6208,1907.15,20,46,25,27
Part-1067,2025-03-01,3,17.77,443.93,20,100,7.6208,1907.15,20,46,25,27
Part-1068,2025-01-01,1,1.0,243.0,7,150,5.4675,1111.8,25,38,38,27
Part-1068,2025-02-01,2,0.56,243.0,7,150,5.4675,1111.8,25,38,38,27
Part-1068,2025-03-01,3,0.57,243.0,7,150,5.4675,1111.8,25,38,38,27
Part-1069,2025-01-01,1,3.01,7277.76,20,50,160.7172,32035.38,6,235,135,128
Part-1069,2025-02-01,2,47.66,7277.76,20,50,160.7172,32035.38,6,235,135,128
Part-1069,2025-03-01,3,46.09,7277.76,20,50,160.7172,32035.38,6,235,135,128
Part-107,2025-01-01,1,3.96,127.76,20,100,2.3742,374.06,429,4126,2869,3180
Part-107,2025-02-01,2,1836.13,127.76,20,100,2.3742,374.06,429,4126,2869,3180
Part-107,2025-03-01,3,2385.33,127.76,20,100,2.3742,374.06,429,4126,2869,3180
Part-1070,2025-01-01,1,0.6,28.49,20,500,0.5413,83.26,250,184,128,41
Part-1070,2025-02-01,2,0.65,28.49,20,500,0.5413,83.26,250,184,128,41
Part-1070,2025-03-01,3,1.03,28.49,20,500,0.5413,83.26,250,184,128,41
Part-1071,2025-01-01,1,202.26,8.25,20,100,0.1437,40.66,188,137,87,55
Part-1071,2025-02-01,2,6.18,8.25,20,100,0.1437,40.66,188,137,87,55
Part-1071,2025-03-01,3,1.48,8.25,20,100,0.1437,40.66,188,137,87,55
Part-1072,2025-01-01,1,106.2,474.38,20,75,11.6618,1873.43,41,521,278,328
Part-1072,2025-02-01,2,346.6,474.38,20,75,11.6618,1873.43,41,521,278,328
Part-1072,2025-03-01,3,372.44,474.38,20,75,11.6618,1873.43,41,521,278,328
Part-1073,2025-01-01,1,817.47,363.34,7,100,6.419,1079.26,163,1432,784,1557
Part-1073,2025-02-01,2,789.71,363.34,7,100,6.419,1079.26,163,1432,784,1557
Part-1073,2025-03-01,3,1814.47,363.34,7,100,6.419,1079.26,163,1432,784,1557
Part-1074,2025-01-01,1,31.75,5654.06,20,100,124.8605,12030.38,5,115,86,35
Part-1074,2025-02-01,2,1.02,5654.06,20,100,124.8605,12030.38,5,115,86,35
Part-1074,2025-03-01,3,84.06,5654.06,20,100,124.8605,12030.38,5,115,86,35
Part-1075,2025-01-01,1,20.07,836.06,20,100,14.7704,4150.44,19,71,50,34
Part-1075,2025-02-01,2,1.0,836.06,20,100,14.7704,4150.44,19,71,50,34
Part-1075,2025-03-01,3,0.61,836.06,20,100,14.7704,4150.44,19,71,50,34
Part-1076,2025-01-01,1,35.69,6735.06,20,150,110.006,25573.37,8,80,72,33
Part-1076,2025-02-01,2,1.01,6735.06,20,150,110.006,25573.37,8,80,72,33
Part-1076,2025-03-01,3,170.2,6735.06,20,150,110.006,25573.37,8,80,72,33
Part-1077,2025-01-01,1,432.76,53.37,14,100,1.0941,143.17,255,600,288,389
Part-1077,2025-02-01,2,167.46,53.37,14,100,1.0941,143.17,255,600,288,389
Part-1077,2025-03-01,3,354.52,53.37,14,100,1.0941,143.17,255,600,288,389
Part-1078,2025-01-01,1,113.48,83.35,20,100,1.8823,289.51,38,60,57,13
Part-1078,2025-02-01,2,1.25,83.35,20,100,1.8823,289.51,38,60,57,13
Part-1078,2025-03-01,3,1.16,83.35,20,100,1.8823,289.51,38,60,57,13
Part-1079,2025-01-01,1,16.93,98.34,20,100,2.4339,313.96,79,195,79,147
Part-1079,2025-02-01,2,154.4,98.34,20,100,2.4339,313.96,79,195,79,147
Part-1079,2025-03-01,3,35.2,98.34,20,100,2.4339,313.96,79,195,79,147
Part-108,2025-01-01,1,2545.34,40.86,20,200,0.6095,162.03,1987,7126,2488,8149
Part-108,2025-02-01,2,2308.85,40.86,20,200,0.6095,162.03,1987,7126,2488,8149
Part-108,2025-03-01,3,3618.29,40.86,20,200,0.6095,162.03,1987,7126,2488,8149
Part-1080,2025-01-01,1,191.16,410.12,20,200,5.8784,1990.76,148,354,203,336
Part-1080,2025-02-01,2,147.58,410.12,20,200,5.8784,1990.76,148,354,203,336
Part-1080,2025-03-01,3,6.91,410.12,20,200,5.8784,1990.76,148,354,203,336
Part-1081,2025-01-01,1,0.63,181.0,20,100,4.2384,629.51,31,68,67,24
Part-1081,2025-02-01,2,0.65,181.0,20,100,4.2384,629.51,31,68,67,24
Part-1081,2025-03-01,3,0.97,181.0,20,100,4.2384,629.51,31,68,67,24
Part-1082,2025-01-01,1,8.23,298.67,20,50,5.6996,1031.61,31,140,76,174
Part-1082,2025-02-01,2,101.12,298.67,20,50,5.6996,1031.61,31,140,76,174
Part-1082,2025-03-01,3,100.35,298.67,20,50,5.6996,1031.61,31,140,76,174
Part-1083,2025-01-01,1,0.51,428.33,20,100,5.9252,1877.71,30,145,154,37
Part-1083,2025-02-01,2,0.56,428.33,20,100,5.9252,1877.71,30,145,154,37
Part-1083,2025-03-01,3,319.85,428.33,20,100,5.9252,1877.71,30,145,154,37
Part-1084,2025-01-01,1,0.63,343.16,20,100,7.6925,1088.76,20,64,48,15
Part-1084,2025-02-01,2,0.66,343.16,20,100,7.6925,1088.76,20,64,48,15
Part-1084,2025-03-01,3,0.97,343.16,20,100,7.6925,1088.76,20,64,48,15
Part-1085,2025-01-01,1,252.82,1522.54,20,300,25.3757,3942.7,107,732,366,453
Part-1085,2025-02-01,2,63.03,1522.54,20,300,25.3757,3942.7,107,732,366,453
Part-1085,2025-03-01,3,137.22,1522.54,20,300,25.3757,3942.7,107,732,366,453
Part-1086,2025-01-01,1,1.96,2665.81,20,100,62.2022,11476.83,9,90,61,38
Part-1086,2025-02-01,2,1.63,2665.81,20,100,62.2022,11476.83,9,90,61,38
Part-1086,2025-03-01,3,1.21,2665.81,20,100,62.2022,11476.83,9,90,61,38
Part-1087,2025-01-01,1,25.33,38.41,20,75,0.5569,181.69,125,71,34,57
Part-1087,2025-02-01,2,55.3,38.41,20,75,0.5569,181.69,125,71,34,57
Part-1087,2025-03-01,3,75.53,38.41,20,75,0.5569,181.69,125,71,34,57
Part-1088,2025-01-01,1,3.79,3185.57,7,500,68.2243,6808.13,29,66,53,155
Part-1088,2025-02-01,2,44.68,3185.57,7,500,68.2243,6808.13,29,66,53,155
Part-1088,2025-03-01,3,50.46,3185.57,7,500,68.2243,6808.13,29,66,53,155
Part-1089,2025-01-01,1,0.63,4741.17,7,75,77.044,21713.14,5,25,28,18
Part-1089,2025-02-01,2,0.64,4741.17,7,75,77.044,21713.14,5,25,28,18
Part-1089,2025-03-01,3,1.24,4741.17,7,75,77.044,21713.14,5,25,28,18
