parca_no,aylik_ort,aylik_std,tedarik_suresi,birim_maliyet,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_SS,mevcut_r,mevcut_Q,baslangic_stok
Part-61,3949.4,2655.5,7,5228.97,200,82.3563,19552.1,2530,3851,133,5057
Part-62,4189.1,1411.3,20,251.05,50,6.088,1105.45,2273,6307,236,4743
Part-63,5322.7,3296.5,7,432.89,150,6.1687,2129.51,3140,5844,614,7664
Part-64,4084.1,1223.6,20,306.4,200,7.277,1352.35,1970,6130,449,6714
Part-65,4058.8,2643.5,20,5855.14,200,127.3493,17249.7,4257,7888,102,5605
Part-66,4604.8,797.4,20,477.84,50,9.9152,1125.84,1284,7028,226,4856
Part-67,4710.2,1565.7,20,13.19,150,0.1781,37.17,2521,5955,2331,7534
Part-68,4436.8,2634.0,20,3281.3,200,78.7512,13087.05,4241,8384,179,8441
Part-69,1711.0,924.8,20,446.95,100,7.2257,908.57,1489,2554,172,2367
Part-70,2044.5,778.3,14,24.08,150,0.5257,61.87,1049,2733,1396,2487
Part-71,1635.6,1366.0,20,169.61,100,4.0,505.56,2200,4558,336,2359
Part-72,5820.0,1625.9,20,462.39,100,7.2056,2138.87,2618,7557,345,6101
Part-73,3093.1,2304.9,20,347.12,150,8.302,747.35,3711,7897,252,5631
Part-74,3688.0,3082.7,20,325.84,75,6.5711,700.49,4964,7895,348,6736
Part-75,2227.1,2196.7,14,4133.33,100,85.7666,15108.76,2959,5377,82,3537
Part-76,1567.3,996.8,20,3166.32,100,75.7278,8021.23,1605,3529,74,2121
Part-77,4211.9,1901.5,20,1546.41,75,29.5107,4216.51,3062,8220,171,7581
Part-78,2486.8,1807.4,20,5227.36,100,94.0925,13343.93,2910,4266,58,3866
Part-79,2022.3,893.2,14,156.33,200,3.1917,585.43,1203,3147,476,3693
Part-80,3024.5,2240.6,20,398.71,75,7.7416,863.86,3608,7312,197,4934
Part-81,3375.3,1438.3,20,164.27,150,2.1766,791.78,2316,5183,835,6023
Part-82,2332.8,998.3,20,40.36,100,0.5953,95.63,1607,4492,967,3729
Part-83,16065.3,5160.5,20,104.72,75,1.3265,508.39,8310,21879,1256,22719
Part-84,3779.6,1357.5,20,5233.67,300,72.3991,22684.75,2186,6901,139,7400
Part-85,7555.1,2196.3,20,454.49,150,9.8094,2037.95,3537,9129,443,11643
Part-86,23644.1,7939.4,20,210.8,75,2.6526,530.88,12784,39420,1074,37951
Part-87,2190.0,1245.8,20,3625.15,150,59.2108,14533.01,2006,4269,121,2673
Part-88,2738.1,1127.2,20,3081.98,75,55.7325,13718.56,1815,3731,95,4451
Part-89,3149.9,1308.2,7,274.51,300,6.6569,1008.58,1246,2087,660,4950
Part-90,3660.3,986.4,20,92.94,75,1.5413,339.53,1588,4088,603,4337
Part-91,1803.1,1617.7,20,36.66,200,0.8157,90.85,2605,4369,767,1911
Part-92,12742.7,3063.2,20,4319.85,75,75.9574,14007.97,4932,15968,182,20444
Part-93,2737.4,1172.6,20,393.25,150,5.4072,964.1,1888,4806,456,4828
Part-94,1297.8,350.0,20,2908.98,300,39.9985,14308.03,564,1681,148,1977
Part-95,2978.8,792.0,20,1209.8,100,21.6756,4905.19,1275,3845,195,3654
Part-96,1884.6,1547.5,20,7803.21,50,103.3925,16739.96,2492,4863,44,3141
Part-97,3924.9,1617.0,20,1467.33,150,28.8575,5033.39,2604,5211,210,4239
Part-98,3086.5,1631.3,14,293.85,75,5.4852,1150.1,2198,5133,287,4450
Part-99,1901.3,982.7,20,6568.89,200,139.5889,15022.53,1582,4016,57,2212
Part-100,4469.3,2699.0,20,2392.59,150,35.4901,9558.32,4346,9468,157,5294
Part-101,1935.0,579.6,20,31.18,100,0.621,78.95,933,2962,605,2326
Part-102,3053.9,1690.2,14,46.26,200,0.6785,149.13,2277,5182,1476,4235
Part-103,1747.5,2324.0,14,32.72,75,0.7035,126.84,3131,3795,563,1837
Part-104,1759.4,1163.4,20,6992.67,300,114.2136,21643.45,1873,2965,99,2459
Part-105,5613.0,1493.3,20,5165.0,100,104.1608,16231.8,2405,7035,130,8485
Part-106,2135.6,5721.8,20,5115.38,200,120.2114,23177.0,9213,13019,75,3168
Part-107,2299.4,1781.8,20,127.76,100,2.3742,374.06,2869,4126,429,3180
Part-108,4431.0,1545.2,20,40.86,200,0.6095,162.03,2488,7126,1987,8149
Part-109,1597.4,1653.5,20,218.44,50,5.1515,993.35,2663,5221,154,1830
Part-110,3957.1,1726.9,14,302.17,100,5.1369,742.72,2327,5884,311,5958
Part-111,1863.7,969.2,20,399.57,50,8.6573,854.19,1561,3452,134,1979
Part-112,2036.7,1638.5,14,30.52,100,0.5036,136.63,2207,2954,754,2182
Part-113,2525.1,1264.9,14,211.85,100,3.4426,773.97,1704,3977,483,3974
Part-114,2579.8,1212.6,20,488.54,100,10.0151,2190.18,1953,4717,271,4040
Part-115,1565.5,678.0,20,64.76,500,0.9336,170.91,1092,2200,1422,2940
Part-116,2040.5,889.8,20,203.15,75,4.7402,913.75,1433,2843,312,3179
Part-117,3054.5,973.7,20,141.15,200,2.4466,322.66,1568,5414,843,5986
Part-118,7837.6,2726.5,20,4413.87,100,56.2768,20522.77,4390,13054,142,8219
Part-119,1482.6,2556.5,20,420.28,100,6.8646,1877.64,4117,6487,258,1628
Part-120,1931.5,2063.9,20,6755.29,75,150.8681,25008.11,3323,6173,46,2017
Part-121,985.1,330.7,20,208.72,150,4.8527,798.36,533,1555,295,1168
Part-122,1127.7,1173.2,20,187.69,100,3.6756,570.11,1889,3060,308,1738
Part-123,2089.3,1506.2,20,5210.76,200,84.2406,13573.24,2425,4387,92,3438
Part-124,1957.3,611.7,20,49.94,500,0.953,168.11,985,2686,1161,2047
Part-125,1423.0,1345.6,7,3361.19,75,77.0273,13351.84,1282,1748,46,2769
Part-126,2381.1,1158.0,20,453.74,75,7.4489,2266.61,1865,4745,216,4386
Part-127,1562.0,1122.8,20,409.52,100,7.0983,1823.08,1808,3530,252,2025
Part-128,2894.3,1620.8,20,3645.48,100,70.1755,12040.74,2610,6448,111,3118
Part-129,4109.9,2947.1,20,5536.59,100,130.5712,23418.36,4746,8656,60,4808
Part-130,1654.2,2051.6,14,149.76,500,2.9578,348.06,2764,4150,771,1864
Part-131,1557.3,539.9,20,7317.34,200,110.3699,23745.56,869,2551,73,1749
Part-132,1461.5,2298.6,20,248.48,500,3.3752,813.72,3701,5430,574,2219
Part-133,1778.2,1144.1,20,143.91,100,1.9668,719.04,1842,3947,347,2215
Part-134,1449.4,2444.7,20,7867.5,100,192.0981,24963.93,3937,4822,36,1968
Part-135,1820.2,985.7,7,13.34,100,0.3035,30.01,939,1593,1389,3621
Part-136,1595.2,326.6,20,131.3,150,2.8995,289.08,526,1732,377,2687
Part-137,1511.0,1979.4,14,6945.41,200,129.6477,28442.52,2667,3575,70,2945
Part-138,829.8,2764.6,20,4703.28,300,98.3769,13485.62,4452,5344,81,948
Part-139,1039.1,905.8,20,20.91,100,0.2945,96.33,1459,2677,798,1436
Part-140,4287.9,1191.4,14,7050.9,100,142.7807,24317.45,1605,5481,100,6667
Part-141,2291.7,1425.1,20,703.67,100,15.9499,2104.76,2295,4792,217,2468
Part-142,1265.6,1297.3,20,27.34,150,0.3623,116.94,2089,3737,910,1271
Part-143,3394.5,2051.0,7,3072.44,150,49.6711,9993.41,1954,3171,146,5670
Part-144,2887.6,1050.7,20,105.19,100,1.4639,443.08,1692,4821,575,4741
Part-145,1860.7,1582.3,20,210.9,75,3.3217,873.61,2548,3594,263,2625
Part-146,1115.1,1013.5,7,5456.39,300,120.95,22751.15,965,1223,57,1661
Part-147,3410.6,4470.7,20,3097.71,200,51.6285,14160.76,7199,10059,177,4828
Part-148,1282.1,1479.5,7,74.92,75,1.5796,340.53,1409,1860,358,1313
Part-149,1024.9,392.2,20,470.46,100,10.4285,1878.93,632,1319,109,1369
Part-150,1050.7,944.7,20,259.85,150,5.8899,1265.7,1521,2177,209,1237
Part-151,1513.7,1134.0,7,372.23,100,8.7164,767.61,1080,1465,232,1663
Part-152,1367.9,545.8,20,2052.85,100,41.057,9835.76,879,2700,72,2677
Part-153,700.8,729.3,20,5464.93,200,87.4389,13360.44,1174,1748,47,1121
Part-154,1306.6,625.5,14,6368.87,50,91.8179,16781.52,843,1743,39,2259
Part-155,1223.1,1067.9,14,303.07,100,5.7078,1349.33,1439,2002,267,1609
Part-156,689.9,247.4,20,179.14,100,2.4781,573.48,398,1134,208,961
Part-157,2587.0,1319.8,7,4434.15,50,106.0501,14525.97,1257,1964,55,3200
Part-158,1231.1,498.2,7,396.38,100,7.1348,1103.4,475,790,217,1350
Part-159,859.2,1638.3,20,185.28,75,4.3386,495.31,2638,3568,151,1013
Part-160,1320.9,1282.1,20,5870.2,100,125.2309,13611.36,2064,2666,53,2374
Part-161,828.8,2729.8,20,6272.95,150,145.8461,16248.91,4396,4166,39,1390
Part-162,1922.7,1579.9,20,62.82,500,1.4815,232.45,2544,3931,1250,2974
Part-163,1350.1,719.9,20,82.03,150,1.0801,337.95,1159,1996,672,1992
Part-164,1282.7,2157.1,14,186.14,100,4.0175,784.86,2906,3192,264,2466
Part-165,1511.4,797.3,14,107.77,100,1.6525,335.2,1074,1983,342,1621
Part-166,1128.9,608.0,20,467.77,100,11.6163,2229.33,979,2385,168,1446
Part-167,878.4,1159.1,20,3915.8,75,87.1266,11693.3,1866,2858,36,1186
Part-168,1519.5,963.0,7,3290.2,75,41.4017,7677.39,917,1468,63,2708
Part-169,844.4,2003.8,20,9.81,75,0.2363,47.44,3227,3757,565,1682
Part-170,1966.5,796.7,20,56.29,150,0.91,203.88,1283,3848,865,2440
Part-171,1529.6,445.6,14,5276.12,150,93.2115,25927.53,600,1585,79,2867
Part-172,1559.9,591.8,20,2019.78,150,40.7322,6424.92,953,2047,81,2856
Part-173,1756.6,1536.3,14,6182.67,500,147.8689,26413.48,2070,3493,112,2151
Part-174,953.0,3206.0,20,6362.0,75,153.2182,14822.25,5162,5167,27,1334
Part-175,2463.6,854.8,20,154.81,500,3.0317,706.28,1376,3557,995,3473
Part-176,877.7,640.4,7,3269.93,100,53.9538,8214.39,610,929,48,1736
Part-177,1180.5,408.0,20,487.31,75,7.797,1075.02,657,2125,171,1394
Part-178,1275.5,371.3,20,1411.49,300,24.113,3236.91,598,1853,171,2295
Part-179,1003.5,476.3,7,1097.65,100,16.1903,4030.71,454,879,140,1339
Part-180,1585.3,1185.2,20,474.7,100,9.8896,1365.06,1908,4261,148,2744
Part-181,1655.0,1390.9,20,36.61,75,0.6986,178.76,2240,3279,559,2350
Part-182,860.9,329.6,20,433.71,100,9.6139,1976.86,531,1248,109,1359
Part-183,570.0,771.5,20,211.04,500,2.8842,930.67,1242,1745,560,1045
Part-184,987.3,571.1,20,1345.18,100,23.5406,5957.69,920,1841,113,1781
Part-185,1292.0,568.0,7,157.6,500,2.4428,736.31,541,957,648,2411
Part-186,969.1,294.7,20,491.42,100,9.4189,2258.38,475,1688,159,1027
Part-187,1473.0,524.8,20,3535.33,75,64.8144,16915.22,845,2521,70,2492
Part-188,664.0,1118.6,20,315.41,75,5.7037,1514.95,1801,2613,139,757
Part-189,883.0,739.2,14,4802.16,100,78.8355,13902.08,996,1489,49,1250
Part-190,537.9,514.0,20,221.11,75,4.7723,587.86,828,1569,115,833
Part-191,1124.1,919.8,20,133.04,150,2.4612,522.75,1481,3138,296,1577
Part-192,519.5,806.8,20,2170.26,75,32.5539,5143.5,1299,2098,61,789
Part-193,2286.8,1052.2,20,168.65,200,3.2606,444.13,1694,3100,660,4566
Part-194,640.6,360.1,20,310.59,200,6.2118,1341.4,580,1293,223,727
Part-195,1110.5,809.1,14,420.0,100,5.355,1658.16,1090,1506,191,1861
Part-196,2914.9,2036.8,20,730.86,200,11.0238,2888.76,3280,5547,306,4069
Part-197,925.4,1178.4,14,204.71,300,3.173,993.24,1588,1822,480,1048
Part-198,877.5,730.8,20,397.95,150,6.2014,1592.94,1177,2156,256,1017
Part-199,917.5,445.6,14,2687.23,100,41.6521,8847.49,600,1344,82,1788
Part-200,1046.7,1414.7,20,1094.22,100,17.4163,3108.68,2278,2789,130,1967
Part-201,6198.3,1332.7,7,6282.25,200,98.9454,18945.17,1270,3245,174,11820
Part-202,1854.5,1328.8,20,61.05,100,1.4398,172.98,2140,3927,405,3693
Part-203,644.0,857.4,20,323.81,100,5.3429,681.61,1381,1926,130,778
Part-204,757.6,1008.3,20,6767.95,75,113.9272,18846.86,1624,2004,40,1027
Part-205,524.2,285.2,7,81.75,100,1.2944,368.37,272,441,309,875
Part-206,560.3,911.0,14,314.06,50,7.7206,1314.24,1227,1822,64,831
Part-207,680.5,246.4,20,5907.31,100,113.2234,22834.79,397,869,28,965
Part-208,505.1,446.6,20,4246.22,100,85.6321,19985.33,719,1003,38,686
Part-209,430.4,99.7,20,488.59,100,10.5861,1364.33,161,547,68,686
Part-210,888.9,837.0,20,317.82,75,5.297,1186.44,1348,2685,133,1401
Part-211,693.7,541.8,14,297.47,150,7.3128,622.9,730,1312,178,806
Part-212,591.5,897.2,20,6402.68,300,92.3053,29939.06,1445,2220,70,871
Part-213,1421.6,724.8,20,1416.67,100,25.8542,4736.23,1167,2427,116,2208
Part-214,928.7,656.0,20,11.43,75,0.1638,28.96,1056,2071,805,1458
Part-215,2031.4,1730.6,20,280.87,100,6.2962,763.39,2787,3798,290,2458
Part-216,2732.0,1609.0,7,39.1,300,0.5409,177.7,1533,2654,1533,4760
Part-217,817.5,484.3,20,2094.29,150,40.6641,4872.19,780,1887,72,838
Part-218,653.1,357.0,20,4753.07,75,65.7508,22698.8,575,1288,45,885
Part-219,2508.6,2010.3,20,335.64,200,6.0975,1047.33,3237,6713,450,4466
Part-220,2294.7,1090.6,20,1496.07,75,23.9371,4119.06,1756,4438,146,3589
Part-221,1719.5,950.6,7,212.4,50,5.0445,636.26,906,1263,206,2169
Part-222,806.1,256.9,20,251.52,100,3.3117,811.64,414,1424,235,1366
Part-223,470.6,822.8,20,380.74,75,7.8369,1387.55,1325,1471,76,738
Part-224,512.5,675.9,20,7377.05,150,156.1476,27740.82,1088,1639,30,921
Part-225,1363.0,593.5,20,226.3,100,5.3369,756.62,956,1947,202,2365
Part-226,577.2,1009.6,14,12.07,200,0.2836,40.3,1360,1405,798,929
Part-227,2968.9,1465.9,14,162.98,150,4.0338,465.45,1975,3914,604,4418
Part-228,1129.5,1072.2,20,262.33,100,4.1098,826.71,1726,2614,226,1280
Part-229,1251.7,512.1,20,44.56,150,0.7092,151.57,825,2055,903,1579
Part-230,611.3,370.0,7,245.18,100,4.2906,929.91,352,589,185,867
Part-231,378.2,709.1,20,4013.41,50,77.2581,9600.48,1142,1231,26,605
Part-232,780.4,449.1,14,344.24,150,5.8808,1477.45,605,962,205,1181
Part-233,699.8,352.7,20,392.22,500,8.5308,1585.24,568,1297,305,901
Part-234,805.9,1032.6,20,292.31,100,3.6782,846.62,1663,2319,213,811
Part-235,746.5,361.2,20,2732.9,100,34.8445,9231.82,582,1459,56,1117
Part-236,706.8,953.7,20,77.7,50,1.6641,376.13,1536,2416,236,909
Part-237,576.6,321.7,20,227.64,300,5.3495,469.26,518,1260,230,1000
Part-238,1431.3,668.0,20,801.88,300,17.775,3555.58,1076,2711,168,1466
Part-239,2214.6,1194.7,20,6658.07,200,93.213,23537.44,1924,4007,107,3510
Part-240,809.3,769.9,20,5256.62,75,127.035,20271.83,1240,2217,26,1571
Part-241,366.7,235.4,20,5.56,300,0.1056,22.54,379,673,1829,431
Part-242,521.1,815.3,20,487.33,50,10.5994,1641.36,1313,1697,89,767
Part-243,811.2,296.3,20,2817.42,100,42.2613,7256.49,477,1444,78,885
Part-244,355.3,94.9,20,6586.49,150,127.3388,31146.01,153,491,28,578
Part-245,1152.4,270.0,7,6205.35,200,103.4225,26190.13,257,743,51,1787
Part-246,354.5,183.9,20,250.7,200,6.1839,922.27,296,742,190,499
Part-247,690.0,1206.2,20,1680.07,200,30.9413,5620.45,1942,3082,93,1050
Part-248,714.0,223.3,14,3395.24,300,74.4123,11876.53,301,942,97,1354
Part-249,675.7,546.5,20,275.98,100,5.5196,1233.8,880,1515,200,808
Part-250,581.9,803.8,20,104.0,200,1.4213,211.9,1294,1744,494,595
Part-251,1682.1,1364.5,20,1369.03,50,26.3538,6292.07,2197,4034,73,3132
Part-252,334.3,160.6,20,177.45,100,3.4159,379.79,259,558,135,527
Part-253,817.8,724.1,7,53.87,50,1.1537,207.28,690,1030,324,1546
Part-254,1096.8,257.7,20,473.5,300,7.8128,1420.2,415,1632,268,1752
Part-255,360.4,1214.6,20,6087.81,500,141.5416,24562.54,1956,2551,42,652
Part-256,672.4,878.8,14,2590.68,50,52.4613,5846.2,1184,1581,38,961
Part-257,631.6,373.1,20,454.56,150,5.9093,1667.64,601,1052,226,1105
Part-258,816.8,285.8,7,5130.12,100,109.4426,23422.6,272,542,44,1563
Part-259,319.2,132.4,20,122.37,100,2.9165,426.33,213,447,157,502
Part-260,1297.8,889.4,7,5075.43,100,106.584,11435.15,847,1537,39,1532
Part-261,608.6,346.0,20,150.78,75,2.601,318.47,557,1087,204,772
Part-262,1387.7,467.1,7,1559.93,75,31.0686,6026.95,445,790,106,1663
Part-263,726.9,739.9,20,172.39,150,2.5284,380.74,1191,1529,243,906
Part-264,415.3,397.7,20,492.99,50,9.8598,1091.41,640,1130,67,543
Part-265,568.9,188.8,14,430.1,150,8.0644,1409.14,254,689,179,885
Part-266,1716.5,517.0,14,448.2,100,5.7519,1178.1,697,1755,282,2726
Part-267,276.2,932.0,14,1696.51,200,27.9924,4432.28,1256,1198,71,394
Part-268,376.2,750.4,20,92.27,150,1.3764,317.68,1208,1542,325,608
Part-269,345.9,912.1,20,88.84,200,1.5473,252.52,1469,1690,283,374
Part-270,710.6,1851.0,20,2338.14,75,36.2412,6214.31,2981,4040,49,773
Part-271,727.1,201.5,14,10.9,100,0.2498,38.62,271,811,912,852
Part-272,722.3,272.3,20,6654.57,500,141.4096,19116.26,438,1086,85,1097
Part-273,705.8,562.6,20,3105.44,100,67.5433,6958.24,906,1417,56,857
Part-274,352.2,215.4,20,285.32,100,4.8504,1155.04,347,849,152,452
Part-275,762.8,380.4,20,270.98,300,3.4098,1018.02,613,1345,377,1068
Part-276,794.9,249.8,20,270.0,50,4.1175,711.81,402,1286,143,1440
Part-277,1004.6,517.3,20,4639.43,150,101.6808,17382.73,833,1545,64,1019
Part-278,782.8,533.6,20,145.17,75,2.9034,706.51,859,1635,223,1291
Part-279,659.2,615.0,14,246.37,100,4.7426,1199.68,829,1030,190,1100
Part-280,677.2,256.2,20,3639.1,75,58.2256,13085.57,413,1086,50,1218
Part-281,627.2,249.0,20,139.62,50,1.8732,320.3,401,1231,227,1212
Part-282,785.4,440.0,7,404.04,100,9.0236,1363.46,419,663,124,801
Part-283,589.6,271.9,20,1982.02,200,25.7663,4124.48,438,817,92,680
Part-284,704.7,409.4,20,2638.81,500,34.9642,8564.53,659,1083,114,1329
Part-285,3188.5,1324.4,20,282.23,150,4.5627,1334.46,2133,5038,489,4650
Part-286,686.9,239.4,20,177.72,100,3.4952,604.66,385,907,152,1075
Part-287,566.9,208.4,20,99.39,200,2.4765,362.92,336,709,305,943
Part-288,749.6,317.0,20,403.97,150,5.5209,999.47,510,1396,212,1259
Part-289,327.8,745.1,20,495.78,100,9.1306,1014.84,1200,1522,77,633
Part-290,635.3,269.1,20,2274.35,75,45.487,11326.61,433,966,49,1269
Part-291,491.8,266.5,20,5512.63,200,125.4123,16619.32,429,1082,31,846
Part-292,1124.6,400.0,20,322.87,150,6.8072,916.32,644,1462,172,1448
Part-293,251.0,289.1,7,5015.76,500,113.2726,18627.75,275,442,57,472
Part-294,514.7,391.7,20,242.67,200,4.6107,1027.94,631,1055,200,540
Part-295,272.0,247.2,20,121.68,100,2.1801,335.13,398,788,130,335
Part-296,416.4,224.7,20,46.71,200,0.9459,166.87,362,812,436,790
Part-297,501.5,682.5,20,223.96,100,5.319,671.41,1099,1848,161,630
Part-298,605.7,673.8,20,282.85,50,5.492,973.82,1085,2066,91,739
Part-299,253.1,197.6,7,1151.27,150,23.1213,2859.67,188,254,62,288
Part-300,2423.3,981.1,7,349.31,300,5.8509,1233.19,935,2147,398,4505
Part-301,250.9,429.9,20,100.09,300,1.9935,214.4,692,908,214,376
Part-302,663.8,175.3,20,180.33,150,3.6667,815.09,282,890,243,1112
Part-303,341.6,777.6,14,5947.68,100,130.3533,23094.72,1048,1215,24,423
Part-304,643.2,644.1,20,97.33,50,1.9142,469.57,1037,1722,201,1131
Part-305,293.4,359.7,20,453.7,100,6.8055,1723.7,579,747,107,516
Part-306,396.8,278.3,20,342.35,500,6.7614,871.79,448,867,311,521
Part-307,578.3,282.4,20,50.47,200,0.8201,174.23,455,1049,549,816
Part-308,351.0,170.2,20,357.84,200,4.8607,1429.24,274,695,158,425
Part-309,491.2,187.9,20,276.15,200,6.3054,862.33,303,905,210,971
Part-310,514.0,186.2,20,4407.26,150,58.7635,16121.53,300,788,46,846
Part-311,690.7,202.1,20,6657.75,150,135.9291,16564.92,325,920,39,1336
Part-312,243.6,96.2,20,311.01,100,7.7234,1347.1,155,355,63,318
Part-313,403.8,106.3,20,448.88,100,6.0973,2122.57,171,493,88,720
Part-314,585.7,218.8,20,457.21,300,6.9725,1346.31,352,752,288,1034
Part-315,772.8,232.1,20,1476.99,100,32.4938,6469.21,374,1059,83,1307
Part-316,366.3,311.0,20,9.14,200,0.1257,20.8,501,783,1223,720
Part-317,475.6,249.1,20,220.46,200,5.0522,604.09,401,1055,189,663
Part-318,1819.6,935.9,20,385.8,200,4.8225,1306.17,1507,3405,328,2057
Part-319,279.4,245.7,14,412.98,50,9.7394,1304.7,331,494,45,467
Part-320,501.2,178.1,20,394.81,75,5.2641,1523.52,287,811,107,867
Part-321,572.8,230.4,20,226.41,100,5.4338,835.22,371,791,153,902
Part-322,569.8,228.1,14,376.23,200,8.7787,850.96,307,687,184,688
Part-323,389.6,407.7,20,360.79,300,6.9452,864.12,656,1112,204,586
Part-324,264.9,639.5,7,160.34,50,3.5676,345.55,609,712,78,348
Part-325,333.0,201.4,20,88.52,100,1.1876,430.01,324,629,302,475
